Gss year for this respondent                       ,Respondent id number,Labor force status,Number of hours worked last week,Number of hours usually work a week,Ever work as long as one year,R self-emp or works for somebody,Rs census occupation code (1980),Rs industry code   (1980),Rs census occupation code (2010),Number of children,Age of respondent,Highest year of school completed,Rs highest degree,Respondents sex,Race of respondent,Was r born in this country,Number of persons in household,How many in family earned money,Total family income,Respondents income,Total family income,Respondents income,Health -- version y,General happiness,Condition of health,Is life exciting or dull,To work hard,Weeks r. worked last year,Was r's work part-time or full-time?,Satisfaction with financial situation,Opinion of family income,Ever unemployed in last ten yrs,Opinion of how people get ahead,Rs living standard compared to parents,Work arrangement at main job,Time at current job,Usual work schedule,Days per month r work extra hours,How often r works at home,Usual reason r work at home,R has job other than main,Job requires r to learn new things,Job requires r to work fast,R does numerous things on job,R has too much work to do well,R knows what's expected on job,Job allows r use of skills,R proud to work for employer,A lot of freedom to decide how to do job,The job security is good,How fair is what r earn on the job,Income alone is enough,Rs health in general,Days of poor physical health past 30 days,Days of poor mental health past 30 days,Days of activity limitation past 30 days,How often during past month r felt used up,R had back pain in the past 12 months,Trouble sleeping last 12 months,Job satisfaction in general,R work for whom,How often does r find work stressful,Internet access in r's home,The highest degree r have earned,Is r us citizen,Does r own or rent home?,Number in family of r,Respondent socioeconomic index,Year of birth,Ballot used for interview,Occupation code based on o*net,R's socioeconomic index (2010)
2010,245,Working parttime,20,Not applicable,Not applicable,Someone else,"Management related occupations, n.e.c.",Administration of human resources programs,"Switchboard operators, including answering service",2,58,13,High school,Female,Other,Yes,1,0,$25000 or more,Not applicable,$25000 to 29999,Not applicable,Not applicable,Very happy,Good,Exciting,3rd important,0,Not applicable,More or less,Average,Yes,Hard work,Much better,"Regular, permanent employee",6-11.9 months,Day shift,0,Never,Not applicable,No,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Very true,Not at all true,Much less than you deserve,No,Very good,5,0,0,Rarely,Yes,Rarely,Very satisfied,Private company,Hardly ever,Yes,Not applicable,Not applicable,Not applicable,1st person,68.1,1952,Ballot c,439061,26.8
2010,246,Working fulltime,40,Not applicable,Not applicable,Someone else,"Teachers, elementary school",Elementary and secondary schools,Elementary and middle school teachers,0,40,16,Bachelor,Female,White,Yes,2,2,$25000 or more,$10000 - 14999,$40000 to 49999,$12500 to 14999,Not applicable,Pretty happy,Not applicable,Not applicable,Most important,52,Part-time,Not at all sat,Average,Yes,Not applicable,Somewhat better,"Regular, permanent employee",6-11.9 months,Day shift,20,More than once a week,Worker has to work at home to keep up with job,No,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Somewhat true,Somewhat true,Somewhat less than you deserve,No,Good,2,14,4,Often,Yes,Often,Very satisfied,Government or government agency,Often,Not applicable,Not applicable,Not applicable,Own or is buying,2nd person,78.5,1970,Ballot b,252021,80.9
2010,247,Working fulltime,40,Not applicable,Not applicable,Someone else,Legal assistants,Legal services,Paralegals and legal assistants,0,44,12,High school,Female,White,Yes,2,1,$25000 or more,$25000 or more,$40000 to 49999,$40000 to 49999,Too little,Very happy,Good,Routine,Most important,52,Full-time,Satisfied,Average,No,Hard work,About the same,"Regular, permanent employee",10,Day shift,15,Never,Not applicable,No,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Very true,Very true,About as much as you deserve,Yes,Good,0,0,0,Often,No,Sometimes,Very satisfied,Private company,Sometimes,Yes,Not applicable,Not applicable,Not applicable,2nd person,57.1,1966,Ballot c,436012,60.3
2010,248,"Unempl, laid off",Not applicable,Not applicable,Not applicable,Someone else,"Inspectors/compliance officers, except construction","Business services, n.e.c.",Computer systems analysts,2,59,19,Bachelor,Male,White,Yes,2,2,$25000 or more,$25000 or more,$75000 to $89999,$40000 to 49999,Not applicable,Very happy,Excellent,Exciting,Not applicable,39,Full-time,More or less,Above average,Not applicable,Hard work,Not applicable,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Own or is buying,2nd person,62.5,1951,Ballot a,No answer,80.7
2010,249,Retired,Not applicable,Not applicable,Yes,Someone else,General office clerks,Elementary and secondary schools,"Office clerks, general",4,80,12,High school,Female,White,Yes,1,0,$10000 - 14999,Not applicable,$12500 to 14999,Not applicable,Too little,Not too happy,Not applicable,Not applicable,2nd important,0,Not applicable,Not at all sat,Below average,No,Not applicable,Somewhat better,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Own or is buying,1st person,37.7,1930,Ballot b,439061,35.8
2010,250,Retired,Not applicable,Not applicable,Yes,Someone else,Cashiers,Grocery stores,Cashiers,6,72,12,High school,Female,White,Yes,1,0,$10000 - 14999,Not applicable,$12500 to 14999,Not applicable,Not applicable,Pretty happy,Not applicable,Not applicable,2nd important,0,Not applicable,Satisfied,Far below average,Don't know,Not applicable,Much worse,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Pays rent,1st person,33.1,1938,Ballot b,412011,21.6
2010,251,Retired,Not applicable,Not applicable,Yes,Someone else,Data-entry keyers,"Cutlery, hand tools, and other hardware",Data entry keyers,3,76,12,High school,Female,White,Yes,2,2,$25000 or more,Not applicable,$25000 to 29999,Not applicable,Too little,Pretty happy,Fair,Routine,4th important,0,Not applicable,More or less,Average,No,Hard work,Much better,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Yes,Not applicable,Not applicable,Not applicable,2nd person,31.4,1934,Ballot c,439021,32.6
2010,252,Other,Not applicable,Not applicable,Yes,Someone else,Secretaries,"Justice, public order, and safety","Court, municipal, and license clerks",2,65,13,High school,Female,White,Yes,2,2,$25000 or more,Not applicable,$60000 to 74999,Not applicable,Not applicable,Pretty happy,Poor,Routine,Not applicable,0,Not applicable,Satisfied,Average,Not applicable,Hard work,Not applicable,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Own or is buying,2nd person,38.4,1945,Ballot a,436012,41.1
2010,253,Working fulltime,40,Not applicable,Not applicable,Someone else,"Teachers, elementary school",Elementary and secondary schools,Elementary and middle school teachers,2,43,20,Bachelor,Female,White,Yes,4,2,$25000 or more,$25000 or more,$60000 to 74999,$25000 to 29999,About right,Pretty happy,Not applicable,Not applicable,2nd important,40,Full-time,More or less,Below average,Yes,Not applicable,About the same,"Regular, permanent employee",6-11.9 months,Day shift,1,More than once a week,Worker has to work at home to keep up with job,No,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Very true,Not too true,Much less than you deserve,No,Good,0,3,0,Sometimes,No,Sometimes,Somewhat satisfied,Non-profit organization,Sometimes,Not applicable,Not applicable,Not applicable,Own or is buying,2nd person,78.5,1967,Ballot b,252021,80.9
2010,254,Retired,Not applicable,Not applicable,Yes,Someone else,Typesetters and compositors,Scientific and controlling instruments,Prepress technicians and workers,2,73,12,High school,Female,White,Yes,1,0,$25000 or more,Not applicable,$75000 to $89999,Not applicable,Not applicable,Pretty happy,Not applicable,Not applicable,3rd important,0,Not applicable,More or less,Average,No,Not applicable,Don't know,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Own or is buying,1st person,41.3,1937,Ballot b,No answer,34.6
2010,255,Keeping house,Not applicable,Not applicable,Yes,Someone else,Waiters and waitresses,Eating and drinking places,Waiters and waitresses,2,27,14,High school,Female,White,Yes,5,2,$25000 or more,Not applicable,$110000 to $129999,Not applicable,Not applicable,Very happy,Excellent,Exciting,Not applicable,0,Not applicable,More or less,Average,Not applicable,Hard work,Not applicable,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Pays rent,2nd person,32.4,1983,Ballot a,353031,19.6
2010,256,Retired,Not applicable,Not applicable,Yes,Someone else,Air traffic controllers,Administration of economic programs,Air traffic controllers and airfield operations specialists,3,73,16,Bachelor,Male,White,Yes,2,0,Refused,Not applicable,Refused,Not applicable,Not applicable,Very happy,Not applicable,Not applicable,2nd important,0,Not applicable,Satisfied,Above average,No,Not applicable,Much better,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Own or is buying,1st person,64,1937,Ballot b,532021,66.4
2010,257,Retired,Not applicable,Not applicable,Yes,Someone else,"Engineers, n.e.c.",Scientific and controlling instruments,Computer programmers,0,60,20,Graduate,Female,White,No,2,1,$25000 or more,Not applicable,$150000 or over,Not applicable,Too much,Very happy,Excellent,Routine,2nd important,0,Not applicable,Satisfied,Above average,No,Hard work,Somewhat better,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Yes,Phd,A u.s. citizen,Not applicable,1st person,87.9,1950,Ballot c,151032,81
2010,258,Working fulltime,54,Not applicable,Not applicable,Someone else,"Bookkeepers, accounting and auditing clerks",Motor vehicle dealers,"Bookkeeping, accounting, and auditing clerks",3,42,14,Junior college,Female,Black,Yes,6,2,$25000 or more,$20000 - 24999,$40000 to 49999,$20000 to 22499,Not applicable,Pretty happy,Good,Routine,3rd important,52,Full-time,More or less,Average,Yes,Hard work,Somewhat better,"Regular, permanent employee",2,Night shift,4,More than once a week,4,No,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Very true,Very true,About as much as you deserve,No,Very good,0,0,0,Sometimes,No,Sometimes,Very satisfied,Private company,Hardly ever,Not applicable,Not applicable,Not applicable,Not applicable,2nd person,38,1968,Ballot c,433031,38.3
2010,259,Working fulltime,35,Not applicable,Not applicable,Someone else,"Counselors, educational and vocational",Colleges and universities,Counselors,0,51,18,Graduate,Male,White,Yes,1,1,$25000 or more,$25000 or more,$90000 to $109999,$90000 to $109999,Not applicable,Pretty happy,Not applicable,Not applicable,Most important,52,Full-time,Satisfied,Above average,No,Not applicable,About the same,"Regular, permanent employee",12,Day shift,14,About once a month,Worker has to work at home to keep up with job,No,Strongly agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Very true,Very true,Somewhat less than you deserve,Yes,Very good,1,2,0,Sometimes,No,Often,Somewhat satisfied,Government or government agency,Sometimes,Not applicable,Not applicable,Not applicable,Own or is buying,1st person,80.9,1959,Ballot b,211012,63.7
2010,260,Working parttime,10,Not applicable,Not applicable,Someone else,"Animal caretakers, except farm","Agricultural services, except horticultural",Nonfarm animal caretakers,0,21,15,High school,Male,White,Yes,4,2,Don't know,Lt $1000,Don't know,Under $1 000,Not applicable,Pretty happy,Not applicable,Not applicable,Most important,36,Part-time,Satisfied,Average,No,Not applicable,Somewhat better,"Regular, permanent employee",Less than 6 months,Afternoon shift,0,Never,Not applicable,No,Disagree,Disagree,Agree,Disagree,Agree,Agree,Strongly agree,Very true,Somewhat true,Somewhat less than you deserve,No,Excellent,0,10,0,Sometimes,No,Never,Very satisfied,Private company,Never,Not applicable,Not applicable,Not applicable,Own or is buying,3rd person,37.5,1989,Ballot b,392021,26.5
2010,261,Other,Not applicable,Not applicable,No,Not applicable,Not applicable,Not applicable,Not applicable,0,30,7,Lt high school,Female,White,Yes,2,0,$7000 to 7999,Not applicable,$7 000 to 7 999,Not applicable,Too little,Not too happy,Not applicable,Not applicable,Most important,0,Not applicable,Not at all sat,Far above average,No,Not applicable,Somewhat worse,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Pays rent,2nd person,-1,1980,Ballot b,No answer,-1
2010,262,Working fulltime,40,Not applicable,Not applicable,Someone else,Purchasing managers,"Commercial research, development, and testing labs",Purchasing managers,2,45,12,High school,Female,White,Yes,2,2,$25000 or more,$25000 or more,$50000 to 59999,$50000 to 59999,Not applicable,Pretty happy,Not applicable,Not applicable,2nd important,52,Full-time,Not at all sat,Average,No,Not applicable,About the same,"Regular, permanent employee",9,Day shift,0,Never,Not applicable,No,Strongly agree,Agree,Agree,Disagree,Agree,Strongly agree,Strongly agree,Somewhat true,Somewhat true,Somewhat less than you deserve,No,Good,0,0,0,Often,No,Often,Somewhat satisfied,Private company,Sometimes,Not applicable,Not applicable,Not applicable,Own or is buying,1st person,74.9,1965,Ballot b,113061,71.6
2010,263,Working fulltime,38,Not applicable,Not applicable,Someone else,"Health aids, except nursing",Drug stores,Health practitioner support technologists and technicians,1,35,12,High school,Female,Other,Yes,3,2,Refused,Refused,Refused,Refused,About right,Pretty happy,Excellent,Routine,Most important,52,Full-time,Not at all sat,Average,No,Both equally,Somewhat better,"Regular, permanent employee",11,Rotating shifts,1,Never,Not applicable,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat true,Not too true,About as much as you deserve,No,Excellent,1,2,1,Very often,Yes,Rarely,Somewhat satisfied,Private company,Often,Not applicable,Not applicable,Not applicable,Not applicable,1st person,36.5,1975,Ballot c,292052,37.2
2010,264,Working fulltime,60,Not applicable,Not applicable,Self-employed,Real estate sales occupations,"Real estate, including real estate-insurance-law offices",Real estate brokers and sales agents,0,79,13,High school,Female,White,Yes,2,1,Don't know,Don't know,Don't know,Don't know,Not applicable,Very happy,Excellent,Exciting,Not applicable,52,Full-time,More or less,Average,Not applicable,Hard work,Not applicable,Independent contractor/consultant/freelance worker,99,No answer,No answer,More than once a week,No answer,No,Agree,Agree,Agree,Agree,Agree,Agree,No answer,Not too true,No answer,No answer,No,Very good,0,0,0,Rarely,No,Sometimes,Very satisfied,No answer,Sometimes,Not applicable,Not applicable,Not applicable,Own or is buying,1st person,64.2,1931,Ballot a,419021,56.9
2010,265,Working parttime,8,Not applicable,Not applicable,Someone else,"Administrators, education and related fields",Elementary and secondary schools,Other teachers and instructors,2,67,20,Graduate,Male,White,Yes,2,1,$25000 or more,$25000 or more,$130000 to $149999,$130000 to $149999,Not applicable,Pretty happy,Fair,Exciting,Most important,45,Full-time,Satisfied,Above average,No,Hard work,Much better,"On-call, work only when called to work",42,Day shift,0,More than once a week,Worker wants to work at home,Yes,Strongly agree,Disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Very true,Somewhat true,About as much as you deserve,Yes,Fair,7,0,7,Rarely,No,Sometimes,Very satisfied,Government or government agency,Hardly ever,Yes,Other,Not applicable,Not applicable,2nd person,85.1,1943,Ballot c,252022,59.1
2010,266,Working fulltime,38,Not applicable,Not applicable,Someone else,Cashiers,Grocery stores,Retail salespersons,0,19,14,High school,Female,White,Yes,3,4,$25000 or more,$8000 to 9999,$150000 or over,$8 000 to 9 999,Not applicable,Pretty happy,Not applicable,Not applicable,2nd important,20,Part-time,More or less,Above average,Yes,Not applicable,Much better,"Regular, permanent employee",3,Day shift,2,Never,Not applicable,No,Disagree,Strongly agree,Agree,Agree,Agree,Disagree,Agree,Somewhat true,Very true,Somewhat less than you deserve,No,Very good,20,15,5,Often,No,Never,Somewhat satisfied,Private company,Often,Not applicable,Not applicable,Not applicable,Own or is buying,11th person,33.1,1991,Ballot b,412031,39.7
2010,267,Working parttime,6,Not applicable,Not applicable,Self-employed,Securities and financial services sales occupations,"Security, commodity brokerage, and investment companies",Personal financial advisors,3,76,16,Bachelor,Male,White,Yes,2,1,$25000 or more,$25000 or more,$150000 or over,$130000 to $149999,Not applicable,Pretty happy,Good,Exciting,Not applicable,52,Part-time,More or less,Above average,Not applicable,Hard work,Not applicable,Independent contractor/consultant/freelance worker,15,Irregular shift/on-call,0,Worker works mainly at home,Other combinations and other reasons,No,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Very true,Very true,Somewhat less than you deserve,No,Good,3,0,5,Rarely,No,Sometimes,Very satisfied,Private company,Sometimes,Not applicable,Not applicable,Not applicable,Own or is buying,1st person,81,1934,Ballot a,132052,79.3
2010,268,"Unempl, laid off",Not applicable,Not applicable,Not applicable,Someone else,"Managers and administrators, n.e.c.","Electrical machinery, equipment, and supplies, n.e.c.",General and operations managers,2,70,16,Bachelor,Female,White,Yes,1,1,$25000 or more,$25000 or more,$150000 or over,$150000 or over,About right,Pretty happy,Not applicable,Not applicable,3rd important,24,Full-time,Not at all sat,Far above average,No,Not applicable,Much better,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Own or is buying,1st person,63.5,1940,Ballot b,132011.02,68.6
2010,269,Working fulltime,50,Not applicable,Not applicable,Someone else,"Supervisors and proprietors, sales occupations","Security, commodity brokerage, and investment companies","Securities, commodities, and financial services sales agents",0,60,18,Graduate,Male,White,Yes,1,1,$25000 or more,$25000 or more,$150000 or over,$90000 to $109999,Not applicable,Very happy,Excellent,Exciting,3rd important,52,Full-time,Satisfied,Above average,No,Both equally,Much better,Independent contractor/consultant/freelance worker,1,Day shift,20,More than once a week,Worker wants to work at home,No,Strongly agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Disagree,Very true,Not at all true,About as much as you deserve,Yes,Excellent,0,0,0,Rarely,No,Never,Very satisfied,Private company,Sometimes,Yes,Master's,Not applicable,Not applicable,1st person,50.7,1950,Ballot c,119199.03,71
2010,270,Working fulltime,45,Not applicable,Not applicable,Self-employed,"Health diagnosing practitioners, n.e.c.","Offices of health practitioners, n.e.c.","Health diagnosing and treating practitioners, all other",1,47,16,Graduate,Male,White,Yes,1,1,$25000 or more,$25000 or more,$25000 to 29999,$25000 to 29999,Too little,Pretty happy,Excellent,Exciting,Not applicable,48,Full-time,Not at all sat,Far below average,Not applicable,Hard work,Not applicable,Independent contractor/consultant/freelance worker,23,Split shift,6,More than once a week,Worker wants to work at home,No,Strongly agree,Disagree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Very true,Very true,About as much as you deserve,Yes,Excellent,0,0,0,Sometimes,No,Never,Very satisfied,Private company,Sometimes,Yes,Master's,Not applicable,Pays rent,1st person,86.9,1963,Ballot a,291199.01,69.5
2010,271,Working fulltime,48,Not applicable,Not applicable,Self-employed,Economists,Business management and consulting  services,Management analysts,0,57,17,Bachelor,Female,White,Yes,1,1,$25000 or more,$25000 or more,$50000 to 59999,$50000 to 59999,Not applicable,Very happy,Not applicable,Not applicable,3rd important,40,Full-time,More or less,Average,No,Not applicable,About the same,Independent contractor/consultant/freelance worker,25,No answer,5,Worker works mainly at home,Other combinations and other reasons,No,Strongly agree,Agree,Strongly agree,Disagree,Agree,Agree,Agree,Very true,Somewhat true,Somewhat less than you deserve,Yes,Excellent,0,5,0,Sometimes,No,Rarely,Somewhat satisfied,Private company,Sometimes,Not applicable,Not applicable,Not applicable,Pays rent,1st person,84.7,1953,Ballot b,112011,78.3
2010,272,Retired,Not applicable,Not applicable,Yes,Someone else,No answer,Banking,Statistical assistants,0,75,16,Bachelor,Female,White,Yes,1,0,$25000 or more,Refused,$50000 to 59999,Refused,Not applicable,Pretty happy,Fair,Routine,Not applicable,0,Not applicable,Satisfied,Average,Not applicable,Hard work,Not applicable,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Own or is buying,1st person,-1,1935,Ballot a,439022,49.6
2010,273,Working fulltime,46,Not applicable,Not applicable,Someone else,Computer systems analysts and scientists,"Health services, n.e.c.",Computer network architects,2,43,16,Bachelor,Male,White,Yes,4,1,$25000 or more,$25000 or more,$130000 to $149999,$130000 to $149999,Too much,Very happy,Good,Exciting,2nd important,52,Full-time,More or less,Above average,Yes,Hard work,About the same,"Regular, permanent employee",3,Day shift,20,Worker works mainly at home,Worker wants to work at home,No,Agree,Disagree,Agree,Disagree,Agree,Strongly agree,Agree,Somewhat true,Somewhat true,About as much as you deserve,Yes,Very good,0,0,0,Sometimes,No,Rarely,Very satisfied,Private company,Sometimes,Yes,Bachelor's,Not applicable,Not applicable,1st person,83.7,1967,Ballot c,151099.03,83.4
2010,274,Working fulltime,45,Not applicable,Not applicable,Someone else,"Managers, marketing, advertising, and public relations","Radio, tv, and communication equipment",Marketing and sales managers,0,45,16,Bachelor,Female,White,No,2,2,$25000 or more,$25000 or more,$150000 or over,$90000 to $109999,Too little,Very happy,Not applicable,Not applicable,2nd important,52,Full-time,Satisfied,Above average,No,Not applicable,Much better,"Regular, permanent employee",12,Day shift,4,More than once a week,Worker wants to work at home,No,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Somewhat true,Somewhat true,About as much as you deserve,Yes,Excellent,0,3,0,Sometimes,No,Never,Very satisfied,Private company,Sometimes,Not applicable,Not applicable,A u.s. citizen,Own or is buying,2nd person,73.3,1965,Ballot b,112021,73.9
2010,275,Keeping house,Not applicable,Not applicable,Yes,Someone else,"Managers and administrators, n.e.c.",Construction,First-line supervisors of office and administrative support workers,2,29,12,High school,Female,Other,Yes,3,1,$20000 - 24999,Not applicable,$22500 to 24999,Not applicable,Not applicable,Pretty happy,Not applicable,Not applicable,Most important,0,Not applicable,Not at all sat,Below average,Yes,Not applicable,Somewhat better,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Pays rent,1st person,63.5,1981,Ballot b,436011,52
2010,276,Working fulltime,40,Not applicable,Not applicable,Someone else,Janitors and cleaners,Elementary and secondary schools,Janitors and building cleaners,2,38,10,Lt high school,Male,White,No,4,1,$10000 - 14999,$10000 - 14999,$12500 to 14999,$10000 to 12499,Not applicable,Very happy,Good,Exciting,Not applicable,26,Part-time,Not at all sat,Below average,Not applicable,Hard work,Not applicable,"Regular, permanent employee",Less than 6 months,Afternoon shift,0,Never,Not applicable,No,Strongly agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Very true,Very true,Somewhat less than you deserve,No,Good,0,0,0,Rarely,No,Never,Somewhat satisfied,Private company,Hardly ever,Not applicable,Not applicable,Not a u.s. citizen,Pays rent,1st person,28.4,1972,Ballot a,372011,20.7
2010,277,Working parttime,16,Not applicable,Not applicable,Someone else,"Sales workers, apparel","Apparel and accessory stores, except shoe",Retail salespersons,0,25,12,High school,Female,White,Yes,2,2,$25000 or more,Lt $1000,$40000 to 49999,Under $1 000,Not applicable,Not too happy,Good,Routine,Not applicable,40,Full-time,Not at all sat,Below average,Not applicable,Hard work,Not applicable,"Regular, permanent employee",6-11.9 months,Night shift,1,Never,Not applicable,No,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Somewhat true,Not at all true,Somewhat less than you deserve,No,Good,9,9,9,Very often,No,Often,Somewhat satisfied,Private company,Hardly ever,Not applicable,Not applicable,Not applicable,Pays rent,1st person,38.4,1985,Ballot a,412031,39.7
2010,278,Working fulltime,40,Not applicable,Not applicable,Someone else,"Managers, medicine and health",Hospitals,Medical and health services managers,0,37,16,Bachelor,Female,Other,No,3,2,$25000 or more,$25000 or more,$150000 or over,$110000 to $129999,Too much,Very happy,Not applicable,Not applicable,3rd important,52,Full-time,Satisfied,Above average,No,Not applicable,About the same,"Regular, permanent employee",7,Day shift,0,About once a month,Worker has to work at home to keep up with job,No,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Very true,Very true,About as much as you deserve,Yes,Excellent,0,0,0,Sometimes,No,Rarely,Somewhat satisfied,Government or government agency,Sometimes,Not applicable,Not applicable,A u.s. citizen,Own or is buying,1st person,74.4,1973,Ballot b,119111,71.8
2010,279,"Unempl, laid off",Not applicable,Not applicable,Not applicable,Someone else,"Managers and administrators, n.e.c.","Business services, n.e.c.",First-line supervisors of retail sales workers,2,63,16,Bachelor,Female,White,Yes,1,1,$25000 or more,$10000 - 14999,$30000 to 34999,$10000 to 12499,Not applicable,Pretty happy,Fair,Exciting,3rd important,12,Full-time,Not at all sat,Below average,Yes,Both equally,Much worse,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Not applicable,1st person,63.5,1947,Ballot c,411011,43
