resp,comp,fproj,timezone,sfips,smsa,qcendiv,sstate,phtype,susr,qmarket,scregion,sdensity3,cregion,state,fips,density3,qlan,qs1,cintro,qs1a,ns1,cointro,qs2a,qs2b,ss2c,qs3,qs4,sex,q1,q2,q3,q4,q6,q7oe,q7.1,q7.2,q7.3,q7.4,q7.5,q7@,q7a,q8a,q8b,q8c,q8d,q8e,q8f,q8g,q8h,int1,int2,q9a,q9b,q9c,q9d,q9e,q9f,q10,q10a,q10b,q13,q14,q15,age,educ,schl,schl2,schl2@,rschl,rschl2,rschl2@,q17,q17@,q18a,q18b,q18c,q18d,q18e,q19,q20,q21,q22,q23a,q23b,q23c,l1,q24,q25,q25a,q26a,q26b,q26c,q26d,q26e,q26f,q26g,employ,employ2,employ2@,employ3,q31,q32,q33,q34,q35,q36,q37,q38,q39,q40,q41,q42,q43,q44a,q44b,q44c,q44d,q44dd,q44e,q44f,q44g,q44h,q44i,q45a,q45b,q46,q47,q48,marital,lwp2,lwp3,kidsa,fam1,fam2,fixhisp,hispx,hisp2,hisp3,racecmb,race1_1,race1_2,race1_3,race1_4,racethn,hh1,hh2,hh30,relig,relig@,chr,born,attend,income,finan,health,regist,regicert,party,partyln,ideo,birthh,mothrh,fathrh,home,home2,l1a,l2,l3,qc1,qc2,qc3,isex,ihisp1,irace1_1,irace1_2,irace1_3,irace1_4,ilang,fdate,fdow,phoneuse,adults,psadjust,puadjust,wt1,weight,q46x,agegroups
296,1,4968,2,01073,13820,6,AL,1,U,3,3,3,3,AL,01073,3,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,2,0,0,0,0,0,0,,1,2,2,2,2,3,4,2,2,1,1,2,2,2,2,2,2,2,0,1,1,1,0,45,7,5,0,,9,0,,0,,3,1,3,3,3,1,5,2,1,1,2,1,1,2,0,0,2,1,1,2,1,2,1,1,0,,2,3,2,1,0,0,2,2,4,2,2,4,2,1,1,2,2,2,2,1,2,0,1,1,2,2,0,0,2,1,2,0,2,1,1,2,1,0,1,1,1,0,0,0,3,3,1,0,2,,0,2,2,8,0,1,2,0,3,2,2,3,0,0,2,0,0,0,1,0,0,0,2,2,1,0,0,0,1,100117,1,3,2,2,1,2,1.616,0,45
297,1,4968,2,05005,00000,7,AR,1,R,3,3,1,3,AR,05005,1,1,0,0,0,0,0,0,0,0,0,0,1,3,2,1,2,9,0,0,0,0,0,0,,1,3,2,3,2,2,4,2,2,2,2,1,0,0,2,2,1,2,0,3,3,2,2,51,3,5,0,,9,0,,0,,2,2,2,2,2,0,0,0,0,1,2,2,1,1,0,0,0,0,0,1,2,1,1,3,4,,0,0,0,0,2,2,1,0,0,0,1,4,9,2,2,1,9,0,2,2,2,1,1,1,2,2,0,0,2,5,1,0,2,2,2,1,2,2,0,1,1,0,0,0,1,2,0,0,3,,0,2,6,2,0,2,2,0,9,9,4,0,0,0,1,0,0,0,2,0,0,0,2,2,1,0,0,0,1,100117,1,2,2,2,1,2,1.825,0,64
299,1,4968,2,17197,16980,3,IL,1,S,2,2,3,2,IL,17197,3,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,1,32,0,0,0,0,distinct different lifestyles,1,3,2,3,1,1,4,3,2,1,1,2,2,2,2,2,2,1,1,0,1,2,2,65,3,0,0,,0,0,,0,,2,3,2,3,3,2,0,2,1,1,2,1,1,1,0,0,2,2,2,2,1,1,1,3,2,,0,0,0,0,1,0,2,0,0,0,3,2,2,3,1,2,1,2,2,1,2,2,1,2,1,2,1,2,2,1,2,0,2,1,1,1,2,2,0,1,1,0,0,0,1,2,0,0,10,,0,0,5,7,0,1,1,1,2,0,3,0,0,0,1,0,0,0,2,0,0,0,1,2,1,0,0,0,1,100117,1,2,2,2,1,2,0.962,1,97
300,1,4968,2,48201,26420,7,TX,1,U,3,3,4,3,TX,48201,4,1,0,0,0,0,0,0,0,0,0,0,1,3,2,1,2,1,1,30,0,0,0,0,communication skills    imaginnation from radio days,1,2,1,1,9,2,4,3,2,1,1,2,2,2,2,2,2,1,9,0,1,1,0,99,5,0,0,,0,0,,0,,2,2,1,3,2,2,0,2,2,2,2,1,1,2,0,0,2,1,2,2,2,1,1,3,4,,0,0,0,0,2,2,1,0,0,0,9,3,9,2,1,2,9,2,2,1,2,0,1,2,2,2,0,0,2,1,9,0,2,1,1,2,2,0,2,1,1,0,0,0,1,99,0,0,99,,9,0,9,10,0,9,9,0,9,9,9,0,0,0,9,0,0,0,9,0,0,0,2,9,9,0,0,0,1,100117,1,2,1,2,1,2,0.833,0,0
301,1,4968,2,01069,20020,6,AL,1,U,3,3,2,3,AL,01069,2,1,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,1,1,2,3,0,0,0,"more honest, work more for what they get",1,3,1,1,1,2,3,3,3,1,2,2,2,2,2,2,2,1,2,0,1,2,2,84,6,0,0,,0,0,,0,,2,2,2,2,2,2,0,2,2,2,1,1,1,2,0,0,2,2,2,2,2,1,1,3,2,,0,0,0,0,1,0,3,0,0,0,1,4,1,2,1,2,1,2,2,2,2,0,2,2,2,2,0,0,2,1,2,0,2,1,1,1,2,2,0,1,1,0,0,0,1,2,0,0,1,,0,1,1,5,0,1,1,1,1,0,2,0,0,0,1,0,0,0,2,0,0,0,2,2,1,0,0,0,1,100117,1,2,2,2,1,2,0.863,0,97
305,1,4968,2,55061,24580,3,WI,1,S,2,2,1,2,WI,55061,1,1,0,0,0,0,0,0,0,0,0,0,1,3,2,1,2,1,1,16,0,0,0,0,we haven't jumped onto the fast moving culture of today's kids.we tend to think things over instead of being impulsive.,2,4,1,1,1,3,4,2,2,1,1,2,2,2,1,2,1,1,2,0,1,1,0,54,7,5,0,,2,0,,0,,2,2,2,3,1,2,0,2,1,2,4,2,2,0,0,0,2,1,2,2,1,1,2,1,0,,2,1,1,0,0,0,1,1,2,1,2,3,2,2,1,2,1,2,2,2,2,0,0,0,2,2,0,0,2,1,2,0,2,1,1,2,2,0,2,1,1,0,0,0,1,2,0,0,1,,0,1,2,6,0,1,1,1,1,0,1,0,0,0,1,0,2,0,0,0,0,0,1,2,1,0,0,0,1,100117,1,1,2,2,2,4,1.433,0,64
306,1,4968,2,17029,00000,3,IL,1,R,2,2,2,2,IL,17029,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,29,0,0,0,0,more teechnologically advanced//(else) no,2,3,1,2,1,3,4,1,1,1,1,2,2,1,1,2,2,2,0,3,3,1,0,36,6,5,0,,2,0,,0,,2,2,3,3,3,1,4,2,1,1,2,1,1,1,2,0,1,1,1,2,1,1,2,1,0,,2,1,1,0,0,0,2,2,3,2,2,2,2,1,1,2,9,2,2,1,1,1,1,2,2,2,0,0,2,1,1,3,1,1,1,2,2,0,2,1,1,0,0,0,1,4,2,0,1,,0,2,4,8,2,1,1,1,3,2,2,0,0,0,1,0,0,0,2,0,0,0,2,2,1,0,0,0,1,100117,1,2,2,2,1,2,1.728,0,45
307,1,4968,2,27037,33460,4,MN,1,S,2,2,3,2,MN,27037,3,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,0,0,0,0,0,0,,2,4,1,2,1,2,4,1,4,1,1,1,1,1,1,2,2,1,2,0,1,2,9,59,6,5,0,,2,0,,0,,2,2,2,2,3,2,0,2,1,4,4,1,1,1,0,0,2,1,2,2,1,2,1,1,0,,2,1,1,0,0,0,1,2,4,1,1,3,2,1,1,1,1,2,2,2,2,1,1,2,2,2,0,0,2,1,2,0,2,1,1,1,2,2,0,1,1,0,0,0,1,2,0,0,2,,0,2,2,7,0,1,1,1,3,1,1,0,0,0,1,0,0,0,2,0,0,0,2,2,1,0,0,0,1,100117,1,2,2,2,1,2,0.744,0,64
309,1,4968,2,55043,00000,3,WI,1,R,2,2,1,2,WI,55043,1,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,2,0,0,0,0,0,0,,2,3,2,3,2,3,4,3,2,2,2,2,0,0,2,2,2,1,1,0,2,2,1,73,3,0,0,,0,0,,0,,2,2,2,2,3,0,0,0,0,2,2,2,1,2,0,0,0,0,0,2,1,1,2,3,2,,0,0,0,0,1,0,2,0,0,0,1,4,1,2,1,2,1,0,2,1,2,0,2,2,2,2,0,0,2,5,1,0,2,1,1,2,2,0,2,1,1,0,0,0,1,1,0,0,1,,0,2,4,3,0,1,1,1,3,2,3,0,0,0,1,0,0,3,0,0,0,0,2,2,1,0,0,0,1,100117,1,2,1,1,1,1,0.48,0,97
310,1,4968,2,48157,26420,7,TX,1,S,3,3,3,3,TX,48157,3,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,5,14,0,0,0,to turn things around  environment  helping otehr people,2,3,1,1,1,3,4,2,2,1,1,2,2,2,2,2,2,1,9,0,2,9,0,48,3,5,0,,9,0,,0,,3,3,2,2,3,2,0,2,1,1,2,1,1,1,0,0,2,2,2,2,1,1,1,1,0,,2,3,1,0,0,0,2,1,2,2,9,9,2,1,1,1,1,2,2,1,2,2,1,2,2,2,0,0,2,1,2,0,1,1,1,1,2,2,0,1,1,0,0,0,1,3,1,0,99,,1,2,2,10,0,1,1,1,1,0,2,0,0,0,1,0,0,0,2,0,0,0,1,9,9,0,0,0,1,100117,1,2,2,2,1,2,2.358,0,64
314,1,4968,2,48167,26420,7,TX,1,S,3,3,3,3,TX,48167,3,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,1,1,28,0,0,0,0,we were the 50's,2,4,2,2,2,2,4,2,2,2,2,1,0,0,2,2,2,1,3,0,2,1,0,71,5,0,0,,0,0,,0,,3,9,2,2,3,0,0,0,0,2,2,1,1,2,0,0,0,0,0,2,2,1,1,3,2,,0,0,0,0,2,1,2,0,0,0,2,3,2,2,1,2,2,0,2,2,2,0,2,1,1,2,2,2,2,5,2,0,2,1,1,1,2,2,0,1,1,0,0,0,1,3,0,0,1,,0,1,6,6,0,1,1,1,1,0,2,0,0,0,1,0,0,0,3,0,0,0,2,2,1,0,0,0,1,100117,1,2,3,2,1,2,0.866,2,97
315,1,4968,1,24031,47900,5,MD,1,U,3,3,4,3,MD,24031,4,1,0,0,0,0,0,0,0,0,0,0,1,1,9,1,2,1,1,20,0,0,0,0,protestors,1,2,1,4,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,0,1,2,2,58,7,5,0,,9,0,,0,,2,1,3,2,1,2,0,2,1,4,2,4,1,1,2,0,2,1,2,2,1,2,1,1,0,,1,1,1,0,0,0,2,2,4,9,2,1,2,2,1,1,1,2,2,1,1,2,1,2,2,2,0,0,2,1,1,1,2,1,1,1,2,2,0,1,1,0,0,0,1,3,0,0,5,,0,0,5,10,0,1,1,1,2,0,4,0,0,0,1,0,0,0,3,0,0,0,2,1,4,0,0,0,1,100117,1,2,3,2,1,2,1.02,0,64
316,1,4968,2,22095,35380,7,LA,1,S,3,3,2,3,LA,22095,2,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,1,1,12,20,0,0,0,i'm unresponsible and carefree (else),2,3,2,2,2,2,4,2,3,1,2,1,1,2,2,1,1,1,2,0,1,1,0,28,5,5,0,,2,0,,2,,2,2,3,1,3,1,5,2,1,1,1,2,1,1,1,0,2,2,2,2,1,1,2,1,0,,2,1,1,0,0,0,2,1,4,1,2,4,2,3,2,1,1,2,2,2,2,2,1,1,2,2,0,0,2,1,1,1,2,1,1,1,2,2,0,1,1,0,0,0,1,2,0,0,1,,0,1,4,7,2,1,1,1,3,1,1,0,0,0,0,1,0,0,1,0,0,0,2,1,1,0,0,0,1,100117,1,3,2,2,1,2,0.403,0,29
317,1,4968,2,48157,26420,7,TX,0,S,3,3,3,3,TX,48157,3,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,2,0,0,0,0,0,0,,1,2,1,2,1,2,4,2,2,1,1,2,2,2,2,1,1,2,0,3,2,2,2,40,6,5,0,,2,0,,0,,3,9,2,2,3,1,5,2,2,1,2,1,1,1,10,0,2,1,2,2,2,1,2,3,5,<5:(VOL) Other reason (SPECIFY)>:homemaker,0,0,0,0,1,0,3,0,0,0,1,3,2,1,1,2,2,2,2,1,1,1,1,2,2,1,0,0,2,1,1,3,1,1,1,2,2,0,2,1,1,0,0,0,1,5,3,0,2,,0,2,2,8,0,1,1,1,1,0,2,0,0,0,1,0,0,0,2,0,0,0,2,2,1,0,0,0,1,100120,4,2,2,2,1,2,1.332,0,45
320,1,4968,2,17115,19500,3,IL,1,U,2,2,2,2,IL,17115,2,1,0,0,0,0,0,0,0,0,0,0,1,1,9,1,2,1,9,0,0,0,0,0,,9,4,2,2,2,2,4,2,4,2,2,2,0,0,2,2,2,2,0,9,5,1,0,41,3,5,0,,2,0,,0,,1,2,2,1,3,0,0,0,0,1,3,1,2,0,0,0,0,0,0,2,1,2,2,3,4,,0,0,0,0,2,1,1,0,0,0,2,4,2,2,1,2,2,0,2,2,2,0,0,0,2,1,0,0,2,6,1,0,1,2,1,1,2,2,0,2,2,0,0,0,2,4,0,0,1,,0,2,4,10,0,2,1,1,4,9,9,0,0,0,1,0,1,0,9,0,0,0,2,2,1,0,0,0,1,100117,1,2,4,2,1,2,2.444,0,45
321,1,4968,2,17031,16980,3,IL,1,U,2,2,5,2,IL,17031,5,1,0,0,0,0,0,0,0,0,0,0,1,3,2,1,2,1,1,7,0,0,0,0,we're more sensible,2,4,1,3,3,4,4,3,1,1,1,2,2,2,2,2,2,1,2,0,1,2,1,74,6,0,0,,0,0,,0,,2,3,2,2,2,2,0,2,2,2,1,2,1,2,0,0,2,2,2,2,1,1,1,3,2,,0,0,0,0,1,0,1,0,0,0,9,3,1,3,1,2,1,2,2,2,2,0,2,2,2,2,0,0,2,1,2,0,2,1,1,1,1,1,0,1,1,0,0,0,3,2,0,0,11,<11:(VOL) Something else {SPECIFY}>:i prefer not to say,2,0,2,6,0,1,1,1,3,9,3,2,3,3,1,0,0,0,3,0,0,0,2,1,4,0,0,0,1,100117,1,2,2,2,1,2,1.195,0,97
322,1,4968,2,19155,36540,4,IA,0,S,2,2,1,2,IA,19155,1,1,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,9,0,0,0,0,0,0,,9,4,1,3,3,3,4,3,1,2,2,2,0,0,2,2,2,2,0,1,3,2,9,73,2,0,0,,0,0,,0,,2,2,2,2,9,0,0,0,0,1,2,1,2,0,0,0,0,0,0,2,2,1,1,3,2,,0,0,0,0,1,0,1,0,0,0,9,4,9,3,2,2,2,0,2,1,2,0,0,0,2,2,0,0,2,5,2,0,2,1,1,2,2,0,2,1,1,0,0,0,1,1,0,0,1,,0,2,6,2,0,1,2,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,2,2,2,0,0,0,1,100117,1,1,1,1,2,2,1.841,0,97
323,1,4968,2,01097,33660,6,AL,1,U,3,3,3,3,AL,01097,3,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0,,1,1,2,2,1,1,4,1,2,1,1,1,2,2,1,1,1,1,1,0,1,1,0,54,5,5,0,,1,9,,0,,2,1,2,2,1,1,2,2,2,1,2,2,1,2,0,0,2,2,2,1,1,1,1,1,0,,1,9,2,1,0,0,1,1,1,1,2,1,2,1,1,1,2,2,2,1,1,0,1,1,2,2,0,0,2,6,1,0,2,1,1,2,2,0,2,1,1,0,0,0,1,2,0,0,2,,0,2,5,8,0,2,1,1,3,2,3,0,0,0,1,0,0,0,2,0,0,0,2,2,2,0,0,0,1,100117,1,2,2,2,1,2,1.177,0,64
324,1,4968,3,08059,19740,8,CO,0,S,4,4,3,4,CO,08013,3,1,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,1,40,0,0,0,0,We are more family oriented,9,4,2,2,2,2,4,1,3,2,2,2,0,0,2,2,2,2,0,2,4,9,0,68,3,0,0,,0,0,,0,,1,2,3,2,1,0,0,0,0,2,3,2,2,0,0,0,0,0,0,2,2,1,2,2,0,,2,3,1,0,0,0,2,1,4,1,1,9,2,3,1,2,2,0,2,1,2,0,0,0,2,2,0,0,2,5,2,0,2,1,1,2,2,0,2,4,4,0,0,0,4,5,2,0,11,<11:(VOL) Something else {SPECIFY}>:<,1,2,5,10,0,1,2,0,4,9,9,0,0,0,2,0,2,0,0,0,0,0,1,2,2,0,0,0,1,100117,1,1,3,2,2,4,2.097,0,97
325,1,4968,3,49049,39340,8,UT,1,U,4,4,2,4,UT,49049,2,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,1,1,15,0,0,0,0,For one thing we are more interested in the constitution of the United States and forming the government around those principles. (else) I wished that there was more integrity throughout the country within business industry and government.,2,2,1,2,1,3,4,2,2,1,1,1,1,1,1,2,2,1,2,0,1,1,0,87,7,0,0,,0,0,,0,,2,2,2,2,3,2,0,2,1,9,2,2,1,2,0,0,2,1,2,2,1,1,1,3,2,,0,0,0,0,1,0,2,0,0,0,1,3,1,1,1,1,2,2,2,2,2,0,2,2,2,2,0,0,2,1,2,0,2,1,1,1,2,2,0,1,1,0,0,0,1,2,0,0,3,,0,2,1,10,0,1,1,1,1,0,2,0,0,0,1,0,0,0,2,0,0,0,2,2,1,0,0,0,1,100117,1,2,2,2,1,2,0.983,0,97
326,1,4968,3,08101,39380,8,CO,1,U,4,4,1,4,CO,08101,1,1,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,1,1,2,32,0,0,0,My generation is the Rock Generation.  We understand work ethics.,2,3,4,4,4,2,3,3,2,1,1,1,1,1,1,2,2,1,2,0,2,2,2,56,5,5,0,,2,0,,0,,2,3,3,1,1,1,4,2,2,2,2,1,1,2,0,0,2,1,2,1,2,1,1,1,0,,3,1,2,2,0,0,2,1,1,3,1,3,1,1,1,1,1,2,1,2,2,0,1,1,2,2,0,0,2,6,1,0,2,1,1,1,2,2,0,1,1,0,0,0,1,1,0,0,12,,0,0,6,4,0,1,1,1,3,1,2,0,0,0,1,0,0,2,0,0,0,0,2,2,1,0,0,0,1,100117,1,2,1,1,1,1,0.495,0,64
327,1,4968,3,08101,39380,8,CO,0,U,4,4,1,4,CO,08101,1,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,9,0,0,0,0,0,0,,2,2,1,1,1,2,4,1,2,1,1,1,2,2,1,2,2,1,9,0,1,1,0,99,6,0,0,,0,0,,0,,2,2,2,1,3,1,4,2,1,2,4,4,1,1,0,0,2,1,1,2,1,1,2,1,0,,3,1,2,1,0,0,1,1,9,9,1,4,2,1,1,1,9,2,2,9,9,2,1,2,2,2,0,0,2,1,1,2,1,4,1,1,9,9,0,9,9,0,0,0,9,99,0,0,13,,0,1,3,10,0,1,1,1,1,0,3,0,0,0,1,0,0,0,2,0,0,0,2,2,1,0,0,0,1,100117,1,2,1,2,1,2,0.684,0,0
329,1,4968,3,04013,38060,8,AZ,1,S,4,4,3,4,AZ,04013,3,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,2,0,0,0,0,0,0,,2,4,2,2,1,2,4,2,2,1,1,2,1,1,2,2,1,1,2,0,1,1,0,70,6,0,0,,0,0,,0,,2,2,2,2,3,2,0,2,1,2,2,1,1,1,0,0,2,1,2,2,2,1,1,3,2,,0,0,0,0,2,2,1,0,0,0,1,3,1,1,1,2,1,2,2,1,2,2,1,1,2,2,0,0,2,1,2,0,2,1,1,1,2,2,0,1,1,0,0,0,1,2,0,0,1,,0,1,1,3,0,1,1,1,1,0,2,0,0,0,1,0,0,0,3,0,0,0,2,1,4,0,0,0,1,100117,1,2,2,2,1,2,0.789,0,97
330,1,4968,3,49053,41100,8,UT,1,U,4,4,1,4,UT,49053,1,1,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,2,0,0,0,0,0,0,,2,3,9,2,2,2,4,1,1,1,1,2,2,2,2,1,2,1,2,0,2,1,0,39,5,3,4,,0,0,,0,,9,2,2,2,3,2,0,2,2,4,4,1,1,1,4,0,2,1,2,2,2,2,2,3,1,,0,0,0,0,2,1,1,0,0,0,9,3,2,1,2,2,1,2,1,1,2,1,1,1,2,2,0,0,2,3,2,0,1,1,1,1,2,2,0,1,1,0,0,0,1,3,2,0,3,,0,2,1,1,2,1,1,1,1,0,2,0,0,0,1,0,0,0,1,0,0,0,1,2,2,0,0,0,1,100117,1,3,1,1,1,1,0.865,0,45
331,1,4968,2,12133,00000,5,FL,1,R,3,3,1,3,FL,12133,1,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,1,3,0,0,0,0,honesty,2,4,2,1,1,3,4,2,3,1,1,1,1,1,1,2,2,1,2,0,1,1,0,54,5,5,0,,1,6,,0,,2,2,2,2,3,1,5,2,1,1,2,1,1,2,0,0,2,1,2,2,1,1,2,1,0,,2,1,2,1,0,0,1,1,4,1,3,9,2,1,2,1,1,2,2,2,2,0,1,2,2,2,0,0,2,1,1,3,2,1,1,1,2,2,0,1,1,0,0,0,1,3,0,0,13,,0,1,2,4,0,1,1,1,1,0,2,0,0,0,1,0,0,0,2,0,0,0,2,2,2,0,0,0,1,100117,1,2,3,2,1,2,0.864,0,64
332,1,4968,3,08005,19740,8,CO,0,S,4,4,3,4,CO,08005,3,1,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,1,2,9,28,0,0,"hard working, good sense of history, trad. values",1,3,2,3,2,2,4,1,2,1,1,1,1,2,1,1,1,1,1,0,1,1,0,58,7,5,0,,1,5,,0,,2,1,1,1,1,2,0,2,1,1,1,1,1,1,0,0,2,1,2,2,1,1,1,1,0,,2,1,1,0,0,0,1,1,2,1,9,1,2,1,1,1,2,2,2,1,1,2,1,1,2,2,0,0,2,1,1,1,2,1,1,2,2,0,2,1,1,0,0,0,1,2,0,0,5,,0,0,3,8,0,1,1,1,2,0,5,0,0,0,1,0,0,0,3,0,0,0,2,2,1,0,0,0,1,100117,1,2,2,2,1,2,0.839,0,64
333,1,4968,4,06065,40140,9,CA,1,S,4,4,2,4,CA,06065,2,1,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,1,1,43,0,0,0,0,We were just raised differently with different values.,1,2,2,2,1,3,4,2,2,1,1,1,1,1,2,2,1,8,0,2,2,1,0,29,5,4,5,,0,0,,0,,2,2,3,2,3,1,3,2,2,2,2,2,1,1,3,0,2,1,2,2,1,1,1,2,0,,2,2,2,1,0,0,1,1,2,3,1,9,2,1,1,1,2,2,1,1,1,1,1,1,2,2,0,0,2,1,1,2,1,2,2,1,1,1,0,1,1,0,0,0,3,5,3,0,2,,0,2,3,6,2,1,1,1,1,0,3,2,2,2,0,1,0,0,1,0,0,0,1,2,2,0,0,0,1,100117,1,3,2,2,1,2,0.863,0,29
334,1,4968,4,06053,41500,9,CA,1,S,4,4,2,4,CA,06053,2,1,0,0,0,0,0,0,0,0,0,0,2,1,2,2,2,2,0,0,0,0,0,0,,2,3,1,1,1,1,4,2,3,1,1,2,2,2,2,2,1,1,2,0,1,1,0,47,5,5,0,,2,0,,0,,2,2,2,2,3,2,0,2,1,2,1,2,1,1,2,0,2,1,2,2,2,2,1,1,0,,1,1,2,1,0,0,1,2,4,1,1,4,2,1,1,2,2,2,2,2,1,1,1,1,2,2,0,0,2,1,2,0,1,1,1,1,2,2,0,1,1,0,0,0,1,3,1,0,1,,0,1,1,5,0,1,1,1,1,0,1,0,0,0,1,0,0,0,2,0,0,0,2,2,2,0,0,0,1,100117,1,2,2,2,1,2,1.85,0,64
336,1,4968,4,53033,42660,9,WA,1,U,4,4,3,4,WA,53033,3,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,2,0,0,0,0,work ethics (else) generally non complaining,1,3,2,3,2,3,4,2,2,1,1,2,1,2,2,2,1,1,1,0,1,1,0,67,7,0,0,,0,0,,0,,3,3,3,3,1,1,3,2,1,2,2,1,1,1,0,0,1,1,2,2,2,2,1,2,0,,3,1,2,2,0,0,2,1,3,1,2,2,2,1,2,1,1,2,2,1,2,2,1,2,2,2,0,0,2,1,2,0,2,1,1,2,2,0,2,1,1,0,0,0,1,2,0,0,1,,0,2,3,8,0,1,1,1,2,0,3,0,0,0,1,0,0,0,3,0,0,0,2,2,2,0,0,0,1,100117,1,2,2,2,1,2,0.737,0,97
339,1,4968,4,06107,47300,9,CA,1,S,4,4,1,4,CA,06107,1,1,0,0,0,0,0,0,0,0,0,0,1,3,9,1,2,1,1,4,0,0,0,0,Get's along with the older generation as oppossed to the younger generation which doesn't,9,1,1,1,1,1,2,1,1,2,2,2,0,0,2,2,2,2,0,1,5,2,2,50,1,5,0,,1,1,,0,,1,2,3,3,1,0,0,0,0,3,3,3,2,0,0,0,0,0,0,2,1,1,1,3,2,,0,0,0,0,2,1,1,0,0,0,1,4,1,1,1,2,2,0,2,9,9,0,0,0,2,2,0,0,2,5,2,0,2,1,1,2,1,0,1,4,4,0,0,0,3,2,0,0,2,,0,1,2,2,0,1,2,0,9,1,4,3,0,0,2,0,1,0,3,0,0,0,2,1,1,0,0,0,2,100123,7,2,2,2,1,2,1.509,0,64
340,1,4968,4,06065,40140,9,CA,1,S,4,4,2,4,CA,06065,2,1,0,0,0,0,0,0,0,0,0,0,2,1,2,9,1,2,0,0,0,0,0,0,,2,3,2,2,2,3,4,2,1,2,1,2,2,2,2,2,1,1,2,0,1,2,1,65,7,0,0,,0,0,,0,,3,3,3,2,3,2,0,2,2,2,2,9,1,2,0,0,2,1,2,2,1,2,1,3,2,,0,0,0,0,1,0,1,0,0,0,2,9,9,1,1,2,2,2,2,1,2,0,2,2,2,2,0,0,2,1,2,0,2,1,1,2,2,0,2,1,1,0,0,0,1,2,0,0,1,,0,2,2,10,0,1,1,1,1,0,3,0,0,0,1,0,0,0,3,0,0,0,2,2,2,0,0,0,1,100117,1,2,2,2,1,2,0.919,0,97
341,1,4968,4,53007,48300,9,WA,1,S,4,4,1,4,WA,53007,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,27,0,0,0,0,So many of our people served in the war and so many leaders came out of it.,1,3,1,2,1,4,4,2,2,1,1,2,1,1,2,2,2,1,1,0,1,2,2,83,6,0,0,,0,0,,0,,3,3,2,1,1,2,0,2,2,2,1,1,1,2,0,0,2,1,2,2,1,1,1,3,2,,0,0,0,0,1,0,3,0,0,0,2,3,1,1,1,1,1,2,2,1,1,0,2,2,2,2,0,0,2,1,2,0,2,1,1,1,2,2,0,1,1,0,0,0,1,2,0,0,1,,0,1,2,6,0,1,1,1,2,0,4,0,0,0,1,0,0,0,3,0,0,0,1,2,2,0,0,0,1,100117,1,2,2,2,1,2,0.677,0,97
342,1,4968,4,06107,47300,9,CA,0,U,4,4,1,4,CA,06107,1,1,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,1,1,25,0,0,0,0,flower children,1,4,4,2,4,3,4,3,2,1,2,1,2,2,2,2,2,1,1,0,2,2,2,61,3,5,0,,2,0,,0,,3,3,3,1,3,2,0,2,2,9,1,1,2,0,0,0,2,2,2,2,1,1,2,1,0,,2,3,1,0,0,0,3,2,4,1,9,3,1,1,1,2,9,2,2,1,1,0,0,0,2,2,0,0,2,5,1,0,2,1,4,2,2,0,2,1,1,0,0,0,1,1,0,0,3,,0,1,5,4,0,1,1,1,2,0,9,0,0,0,1,0,0,0,0,0,0,0,1,2,2,0,0,0,1,100117,1,1,1,1,2,2,1.159,0,64
